Climate ID,Date,Monthly_Max_Gust_kmh,Monthly_Mean_Gust_Direction_10sdeg
8100989,2021-04-01,63.0,11.78
8100989,2021-05-01,62.0,18.21
8100989,2021-06-01,57.0,21.42
8100989,2021-07-01,50.0,16.58
8100989,2021-08-01,51.0,20.64
8100989,2021-09-01,52.0,21.67
8100989,2021-10-01,51.0,12.43
8100989,2021-11-01,57.0,24.47
8100989,2021-12-01,76.0,27.0
8100989,2022-01-01,62.0,24.06
8100989,2022-02-01,67.0,24.27
8100989,2022-03-01,78.0,25.9
8100989,2022-04-01,68.0,17.95
8100989,2022-05-01,64.0,21.05
8100989,2022-06-01,64.0,18.82
8100989,2022-07-01,60.0,22.11
8100989,2022-08-01,50.0,20.4
8100989,2022-09-01,74.0,26.42
8100989,2022-10-01,47.0,19.29
8100989,2022-11-01,67.0,22.5
8100989,2022-12-01,94.0,18.3
